rank,lemma,english,pos,level,freq_score,freq_tier,register,tokens
1029,ruilen,exchange,verb,2,12.12,A,everyday,"['ruilde', 'ruilen', 'ruilt']"
1030,erkennen,acknowledged,verb,2,12.09,A,everyday,"['erkend', 'erkende', 'erkennen']"
1031,onderhandelen,negotiation,verb,2,12.09,A,everyday,"['onderhandeld', 'onderhandelde', 'onderhandelen']"
1032,plank,plank,noun,2,12.09,A,everyday,"['plank', 'planken', 'plankje']"
1033,klimmen,climb,verb,2,12.09,A,everyday,"['klimt', 'klom', 'klommen']"
1034,snappen,understand,verb,2,12.06,A,everyday,"['gesnapt', 'snappen', 'snapt']"
1035,beest,beast,noun,2,12.06,A,everyday,"['beest', 'beesten', 'beestjes']"
1036,konijn,rabbit,noun,2,12.06,A,everyday,"['konijn', 'konijnen', 'konijntje']"
1037,nadeel,disadvantage,noun,2,12.06,A,everyday,"['nadeel', 'nadele', 'nadelen']"
1038,verlagen,decrease,verb,2,12.06,A,everyday,"['verlaagd', 'verlaagt', 'verlagen']"
1039,agressief,aggressive,adjective,2,12.03,A,everyday,"['agressief', 'agressieve', 'agressiever']"
1040,email,email,noun,2,12.03,A,everyday,"['email', 'emaille', 'emails']"
1041,moedig,brave,adjective,2,12.03,A,everyday,"['moedig', 'moedige', 'moedigen']"
1042,vertonen,show,verb,2,12.03,A,everyday,"['vertonen', 'vertoond', 'vertoont']"
1043,daar,there,adverb,2,12.0,A,everyday,"['daar', 'dare']"
1044,toch,oh,adverb,2,12.0,A,everyday,"['toch', 'tochtje']"
1045,schijnen,shine,verb,2,12.0,A,everyday,"['scheen', 'schijnen', 'schijnt']"
1046,poes,kitten,noun,2,12.0,A,everyday,"['poes', 'poesje', 'poesjes']"
1047,teen,toe,adjective,2,12.0,A,everyday,"['teen', 'teens', 'teentjes']"
1048,vest,cardigan,verb,2,12.0,A,everyday,"['vest', 'vesten', 'vestje']"
1049,blank,caucasian,noun,2,11.97,A,everyday,"['blank', 'blanke', 'blanken']"
1050,tegenhouden,stop,verb,2,11.97,A,everyday,"['tegengehouden', 'tegenhouden', 'tegenhoudt']"
1051,verrichten,perform,verb,2,11.94,A,everyday,"['verricht', 'verrichten', 'verrichtte']"
1052,gun,gun,adjective,2,11.94,A,everyday,"['gun', 'guns', 'gunste']"
1053,pikken,cocks,noun,2,11.94,A,everyday,"['gepikt', 'pikken', 'pikte']"
1054,storten,landfill,verb,2,11.94,A,everyday,"['gestort', 'storten', 'stortte']"
1055,variëren,vary,verb,2,11.94,A,everyday,"['gevarieerd', 'variëren', 'variërend']"
1056,voetballen,football,verb,2,11.94,A,everyday,"['gevoetbald', 'voetballen', 'voetbalt']"
1057,zuiver,pure,adjective,2,11.94,A,everyday,"['zuiver', 'zuivere', 'zuiverste']"
1058,groet,greetings,noun,2,11.88,A,everyday,"['groet', 'groeten', 'groetjes']"
1059,particulier,private,noun,2,11.88,A,everyday,"['particulier', 'particuliere', 'particulieren']"
1060,uiten,express,verb,2,11.88,A,everyday,"['geuit', 'uiten', 'uitte']"
1061,ing,ed,noun,2,11.85,A,everyday,"['ing', 'ingen', 'inger']"
1062,plakken,paste,verb,2,11.85,A,everyday,"['geplakt', 'plakken', 'plakte']"
1063,realistisch,reality,adjective,2,11.85,A,everyday,"['realistisch', 'realistische', 'realistischer']"
1064,schuiven,scroll,verb,2,11.85,A,everyday,"['schoof', 'schuift', 'schuiven']"
1065,verwelkomen,welcome,verb,2,11.85,A,everyday,"['verwelkomd', 'verwelkomen', 'verwelkomt']"
1066,huwen,marrying,verb,2,11.84,A,everyday,"['gehuwd', 'gehuwde', 'huwde', 'huwen']"
1067,potentieel,potential,noun,2,11.82,A,everyday,"['potentieel', 'potentiele', 'potentiële']"
1068,schaap,sheep,noun,2,11.82,A,everyday,"['schaap', 'schaapjes', 'schapen']"
1069,po,po,adverb,2,11.82,A,everyday,"['po', 'poste', 'potje']"
1070,cake,cake,noun,2,11.82,A,everyday,"['cake', 'cakejes', 'cakes']"
1071,ezel,ass,noun,2,11.82,A,everyday,"['ezel', 'ezels', 'ezeltje']"
1072,lo,lo,pronoun,2,11.82,A,everyday,"['lo', 'loste', 'lotje']"
1073,omringen,surround,verb,2,11.8,A,everyday,"['omringd', 'omringen', 'omringende', 'omringt']"
1074,uitspreken,speak,verb,2,11.79,A,everyday,"['uitgesproken', 'uitsprak', 'uitspreken']"
1075,borg,deposit,noun,2,11.79,A,everyday,"['borg', 'borgen', 'borger']"
1076,overvallen,robberies,verb,2,11.79,A,everyday,"['overvallen', 'overvalt', 'overviel']"
1077,afmaken,finish,verb,2,11.76,A,everyday,"['afgemaakt', 'afmaakt', 'afmaken']"
1078,hamer,hammer,noun,2,11.76,A,everyday,"['hamer', 'hameren', 'hamers']"
1079,kolonie,colony,noun,2,11.76,A,everyday,"['kolonie', 'kolonies', 'koloniën']"
1080,werpen,throwing,verb,2,11.76,A,everyday,"['geworpen', 'werpen', 'werpt']"
1081,beheren,manage,verb,2,11.73,A,everyday,"['beheerd', 'beheert', 'beheren']"
1082,pijl,arrow,noun,2,11.73,A,everyday,"['pijl', 'pijlen', 'pijltje']"
1083,remmen,brakes,verb,2,11.73,A,everyday,"['geremd', 'remmen', 'remmende']"
1084,gewoon,normal,adjective,2,11.7,A,everyday,"['gewone', 'gewoon']"
1085,geestelijk,mental,adjective,2,11.7,A,everyday,"['geestelijk', 'geestelijke', 'geestelijken']"
1086,concreet,concrete,noun,2,11.7,A,everyday,"['concreet', 'concreets', 'concrete']"
1087,kraan,crane,verb,2,11.7,A,everyday,"['kraan', 'kraantje', 'kranen']"
1088,rat,rat,verb,2,11.7,A,everyday,"['rat', 'rats', 'ratten']"
1089,werven,yards,verb,2,11.7,A,everyday,"['geworven', 'werft', 'werven']"
1090,compliment,compliment,noun,2,11.7,A,everyday,"['complimenten', 'complimentje', 'complimentjes']"
1091,achterlaten,leave,verb,2,11.67,A,everyday,"['achtergelaten', 'achterlaten', 'achterlatend']"
1092,financieren,finance,verb,2,11.67,A,everyday,"['financieren', 'financiert', 'gefinancierd']"
1093,verstrekken,providing,verb,2,11.67,A,everyday,"['verstrekken', 'verstrekt', 'verstrekte']"
1094,integreren,integrate,verb,2,11.64,A,everyday,"['geïntegreerde', 'integreert', 'integreren']"
1095,keer,times,noun,2,11.62,A,everyday,"['keer', 'keertje']"
1096,balk,bar,verb,2,11.61,A,everyday,"['balk', 'balken', 'balkje']"
1097,kappen,capping,verb,2,11.61,A,everyday,"['gekapt', 'kappen', 'kapt']"
1098,kas,cash,noun,2,11.61,A,everyday,"['kas', 'kassen', 'kastjes']"
1099,scheren,shaving,verb,2,11.61,A,everyday,"['geschoren', 'scheert', 'scheren']"
1100,zwaaien,wave,verb,2,11.61,A,everyday,"['gezwaaid', 'zwaaien', 'zwaait']"
1101,stralen,rays,noun,2,11.61,A,everyday,"['straalt', 'stralend', 'stralende']"
1102,weg,road,adverb,2,11.6,A,everyday,"['weg', 'wegen']"
1103,iemand,someone,pronoun,2,11.58,A,everyday,"['iemand', 'iemands']"
1104,pool,pool,noun,2,11.58,A,everyday,"['polen', 'pool', 'poolen']"
1105,buigen,bend,verb,2,11.58,A,everyday,"['buigen', 'buigt', 'gebogen']"
1106,hecht,suture,noun,2,11.58,A,everyday,"['hecht', 'hechte', 'hechten']"
1107,opgroeien,growing,verb,2,11.58,A,everyday,"['opgroeide', 'opgroeien', 'opgroeit']"
1108,zeuren,nagging,verb,2,11.58,A,everyday,"['zeuren', 'zeurende', 'zeurt']"
1109,plukken,picking,noun,2,11.58,A,everyday,"['geplukt', 'plukt', 'plukte']"
1110,binnen,inside,preposition,2,11.56,A,everyday,"['binnen', 'bint']"
1111,uw,your,pronoun,2,11.56,A,everyday,"['uwe', 'uwen']"
1112,oprichten,establish,verb,2,11.55,A,everyday,"['opgericht', 'opgerichte', 'oprichtte']"
1113,overwinnen,overcome,verb,2,11.55,A,everyday,"['overwinnen', 'overwon', 'overwonnen']"
1114,rijp,ripe,adjective,2,11.55,A,everyday,"['rijp', 'rijpen', 'rijpere']"
1115,versieren,decorate,verb,2,11.55,A,everyday,"['versierde', 'versieren', 'versiert']"
1116,opzicht,aspect,noun,2,11.52,A,everyday,"['opzicht', 'opzichte', 'opzichten']"
1117,beschuldigen,accusing,noun,2,11.52,A,everyday,"['beschuldigd', 'beschuldigde', 'beschuldigt']"
1118,beet,bite,verb,2,11.52,A,everyday,"['beet', 'beetjes', 'beets']"
1119,logeren,stay,verb,2,11.52,A,everyday,"['logeerde', 'logeert', 'logeren']"
1120,wee,woe,adjective,2,11.52,A,everyday,"['wee', 'weetje', 'weeën']"
1121,dekken,covers,verb,2,11.49,A,everyday,"['dekt', 'dekte', 'gedekt']"
1122,rang,grade,noun,2,11.49,A,everyday,"['rang', 'range', 'rangen']"
1123,wijd,wide,adverb,2,11.49,A,everyday,"['wijd', 'wijde', 'wijden']"
1124,kwetsen,hurt,noun,2,11.49,A,everyday,"['gekwetst', 'kwetsend', 'kwetsende']"
1125,toe,toe,preposition,2,11.48,A,everyday,"['toe', 'toetje']"
1126,elkaar,each,pronoun,2,11.46,A,everyday,"['elkaar', 'elkaars']"
1127,zulk,such,determiner,2,11.46,A,everyday,"['zulk', 'zulke', 'zulks']"
1128,wortel,root,noun,2,11.46,A,everyday,"['wortel', 'wortelen', 'wortels']"
1129,katholiek,catholic,adjective,2,11.43,A,everyday,"['katholiek', 'katholieke', 'katholieken']"
1130,vierkant,square,adjective,2,11.43,A,everyday,"['vierkant', 'vierkante', 'vierkantjes']"
1131,opleggen,impose,verb,2,11.43,A,everyday,"['opgelegd', 'opleggen', 'oplegt']"
1132,pleiten,pleading,noun,2,11.43,A,everyday,"['gepleit', 'pleit', 'pleitte']"
1133,aangaan,getting,verb,2,11.43,A,everyday,"['aangaan', 'aangaat', 'aangegaan']"
1134,armband,bracelet,noun,2,11.43,A,everyday,"['armband', 'armbandje', 'armbandjes']"
1135,bewonderen,admiring,verb,2,11.43,A,everyday,"['bewonderd', 'bewonderde', 'bewonderen']"
1136,hoes,cover,noun,2,11.43,A,everyday,"['hoes', 'hoesje', 'hoesjes']"
1137,lekken,leaks,noun,2,11.43,A,everyday,"['gelekt', 'lekkende', 'lekte']"
1138,liberaal,liberal,adjective,2,11.4,A,everyday,"['liberaal', 'liberale', 'liberalen']"
1139,inhouden,contents,verb,2,11.4,A,everyday,"['ingehouden', 'inhouden', 'inhoudt']"
1140,intensief,intensive,adjective,2,11.4,A,everyday,"['intensief', 'intensieve', 'intensiever']"
1141,filter,filter,noun,2,11.4,A,everyday,"['filter', 'filteren', 'filters']"
1142,plak,paste,noun,2,11.4,A,everyday,"['plak', 'plakje', 'plakjes']"
1143,uitkijken,watch,verb,2,11.4,A,everyday,"['uitkeek', 'uitkijken', 'uitkijkt']"
1144,zaaien,sowing,verb,2,11.4,A,everyday,"['gezaaid', 'zaaien', 'zaait']"
1145,naam,name,noun,2,11.38,A,everyday,"['naam', 'name']"
1146,intrekken,withdraw,verb,2,11.37,A,everyday,"['ingetrokken', 'intrekt', 'introk']"
1147,bedienen,operating,noun,2,11.37,A,everyday,"['bediend', 'bediende', 'bedienen']"
1148,juichen,happy birthday,verb,2,11.37,A,everyday,"['juichen', 'juicht', 'juichte']"
1149,oogsten,harvesting,verb,2,11.37,A,everyday,"['geoogst', 'oogsten', 'oogstte']"
1150,verschaffen,of,verb,2,11.37,A,everyday,"['verschaffen', 'verschaft', 'verschafte']"
1151,anders,different,adverb,2,11.34,A,everyday,"['anders', 'andersen']"
1152,verenigen,unifying,verb,2,11.34,A,everyday,"['verenigd', 'verenigde', 'verenigt']"
1153,varken,pig,verb,2,11.34,A,everyday,"['varken', 'varkens', 'varkentje']"
1154,wolk,cloud,noun,2,11.34,A,everyday,"['wolk', 'wolken', 'wolkje']"
1155,pil,pill,noun,2,11.34,A,everyday,"['pil', 'pillen', 'pils']"
1156,hap,bite,noun,2,11.34,A,everyday,"['hap', 'hapjes', 'haps']"
1157,omdraaien,turn,verb,2,11.34,A,everyday,"['omdraaien', 'omdraait', 'omgedraaid']"
1158,opvangen,capture,verb,2,11.34,A,everyday,"['opgevangen', 'opvangen', 'opvangt']"
1159,pit,pit,noun,2,11.34,A,everyday,"['pit', 'pitje', 'pits']"
1160,jou,you,pronoun,2,11.32,A,everyday,"['jou', 'jouw']"
1161,benadrukken,emphasize,verb,2,11.31,A,everyday,"['benadrukken', 'benadrukt', 'benadrukte']"
1162,baat,benefit,noun,2,11.31,A,everyday,"['baat', 'bate', 'baten']"
1163,belanden,ended up,verb,2,11.31,A,everyday,"['belandde', 'belanden', 'belandt']"
1164,bezighouden,occupy,verb,2,11.31,A,everyday,"['beziggehouden', 'bezighouden', 'bezighoudt']"
1165,defect,defect,noun,2,11.31,A,everyday,"['defect', 'defecte', 'defecten']"
1166,lin,lin,numeral,2,11.31,A,everyday,"['lin', 'linde', 'lintje']"
1167,waal,waal,adjective,2,11.31,A,everyday,"['waal', 'waals', 'walen']"
1168,vraag,question,noun,2,11.28,A,everyday,"['vraag', 'vragen']"
1169,kluis,safe,noun,2,11.28,A,everyday,"['kluis', 'kluisje', 'kluisjes']"
1170,naaien,sewing,adverb,2,11.28,A,everyday,"['genaaid', 'naaien', 'naait']"
1171,thuiskomen,coming,verb,2,11.28,A,everyday,"['thuisgekomen', 'thuiskomen', 'thuiskomt']"
1172,dagen,days,noun,2,11.28,A,everyday,"['daagt', 'doeg']"
1173,schetsen,sketches,noun,2,11.28,A,everyday,"['geschetst', 'schetst', 'schetste']"
1174,begeven,quit,verb,2,11.25,A,everyday,"['begaf', 'begeeft', 'begeven']"
1175,gans,goose,adjective,2,11.25,A,everyday,"['gans', 'ganse', 'ganzen']"
1176,genereren,generate,verb,2,11.25,A,everyday,"['gegenereerd', 'genereert', 'genereren']"
1177,kraken,cracking,verb,2,11.25,A,everyday,"['gekraakt', 'kraakt', 'kraken']"
1178,sein,signal,noun,2,11.25,A,everyday,"['sein', 'seinen', 'seintje']"
1179,verwijten,blaming,verb,2,11.25,A,everyday,"['verweten', 'verwijt', 'verwijten']"
1180,paar,pair,noun,2,11.24,A,everyday,"['paar', 'paartje']"
1181,foto,photo,noun,2,11.22,A,everyday,"['foto', ""foto's""]"
1182,uitschakelen,disable,verb,2,11.22,A,everyday,"['uitgeschakeld', 'uitschakelen', 'uitschakelt']"
1183,voortzetten,continue,verb,2,11.22,A,everyday,"['voortgezet', 'voortzet', 'voortzetten']"
1184,berekenen,calculate,verb,2,11.22,A,everyday,"['berekend', 'berekende', 'berekenen']"
1185,acteren,acting,verb,2,11.22,A,everyday,"['acteert', 'acteren', 'geacteerd']"
1186,overig,other,adjective,2,11.19,A,everyday,"['overig', 'overige', 'overigen']"
1187,bijwonen,attend,verb,2,11.19,A,everyday,"['bijgewoond', 'bijwonen', 'bijwoonde']"
1188,eren,honor,verb,2,11.19,A,everyday,"['eerde', 'eert', 'eren']"
1189,rapporteren,report,noun,2,11.19,A,everyday,"['gerapporteerd', 'rapporteerde', 'rapporteert']"
1190,natuurlijk,of,adjective,2,11.18,A,everyday,"['natuurlijk', 'natuurlijke']"
1191,smal,narrow,adjective,2,11.16,A,everyday,"['smal', 'smalle', 'smaller']"
1192,kostbaar,precious,adjective,2,11.16,A,everyday,"['kostbaar', 'kostbaarste', 'kostbare']"
1193,tomaat,tomato,noun,2,11.16,A,everyday,"['tomaat', 'tomaatjes', 'tomaten']"
1194,verbreken,break,verb,2,11.16,A,everyday,"['verbrak', 'verbreken', 'verbroken']"
1195,wieg,cradle,verb,2,11.16,A,everyday,"['wieg', 'wiegen', 'wiegje']"
1196,zuinig,economic,adjective,2,11.16,A,everyday,"['zuinig', 'zuinige', 'zuiniger']"
1197,activeren,activate,verb,2,11.13,A,everyday,"['activeert', 'activeren', 'geactiveerd']"
1198,herdenken,memorize,verb,2,11.13,A,everyday,"['herdacht', 'herdenken', 'herdenkt']"
1199,vertragen,slow,verb,2,11.13,A,everyday,"['vertraagd', 'vertraagt', 'vertragen']"
1200,familie,family,noun,2,11.12,A,everyday,"['familie', 'families']"
1201,website,website,noun,3,11.12,A,everyday,"['website', 'websites']"
1202,kon,couldn t,noun,3,11.12,A,everyday,"['kontje', 'kontjes']"
1203,omschrijven,define,verb,3,11.1,A,everyday,"['omschreven', 'omschrijft', 'omschrijven']"
1204,beren,bears,verb,3,11.1,A,everyday,"['beard', 'beren', 'berend']"
1205,moment,moment,noun,3,11.08,A,everyday,"['moment', 'momenten']"
1206,betoveren,enchanted,verb,3,11.08,A,everyday,"['betoverde', 'betoveren', 'betoverend', 'betoverende']"
1207,bedekken,cover,verb,3,11.07,A,everyday,"['bedekken', 'bedekt', 'bedekte']"
1208,voltooien,complete,verb,3,11.07,A,everyday,"['voltooid', 'voltooide', 'voltooien']"
1209,radicaal,radical,adjective,3,11.07,A,everyday,"['radicaal', 'radicale', 'radicalen']"
1210,koek,cookie,noun,3,11.07,A,everyday,"['koek', 'koekje', 'koekjes']"
1211,revolutionair,revolutionary,adjective,3,11.07,A,everyday,"['revolutionair', 'revolutionaire', 'revolutionairen']"
1212,prominent,prominent,noun,3,11.07,A,everyday,"['prominent', 'prominente', 'prominenten']"
1213,overgaan,pass,verb,3,11.07,A,everyday,"['overgaan', 'overgaat', 'overgegaan']"
1214,manier,way,noun,3,11.06,A,everyday,"['manier', 'manieren']"
1215,client,client,noun,3,11.04,A,everyday,"['client', 'clienten', 'clients']"
1216,trillen,vibrating,verb,3,11.04,A,everyday,"['trillen', 'trillende', 'trilt']"
1217,water,water,noun,3,11.04,A,everyday,"['water', 'waters']"
1218,samenhangen,related,verb,3,11.04,A,everyday,"['samenhangen', 'samenhangend', 'samenhangende', 'samenhangt']"
1219,klaar,done,adjective,3,11.02,A,everyday,"['klaar', 'klare']"
1220,conservatief,conservative,adjective,3,11.01,A,everyday,"['conservatief', 'conservatieve', 'conservatieven']"
1221,barbecue,barbecue,noun,3,11.01,A,everyday,"['barbecue', 'barbecues', 'barbecueën']"
1222,operator,operator,noun,3,11.01,A,everyday,"['operator', 'operatoren', 'operators']"
1223,wond,wound,verb,3,11.01,A,everyday,"['wonde', 'wondere', 'wondje']"
1224,weergeven,display,verb,3,10.98,A,everyday,"['weergeeft', 'weergegeven', 'weergeven']"
1225,opslaan,save,verb,3,10.98,A,everyday,"['opgeslagen', 'opslaan', 'opslaat']"
1226,beklimmen,climb,verb,3,10.98,A,everyday,"['beklimmen', 'beklom', 'beklommen']"
1227,handelaar,trader,noun,3,10.98,A,everyday,"['handelaar', 'handelaars', 'handelaren']"
1228,stip,dot,noun,3,10.98,A,everyday,"['stip', 'stipje', 'stipjes']"
1229,auto,car,noun,3,10.96,A,everyday,"['auto', ""auto's""]"
1230,verdenken,suspected,verb,3,10.96,A,everyday,"['verdacht', 'verdachte', 'verdenken', 'verdenkt']"
1231,noordelijk,north,adjective,3,10.95,A,everyday,"['noordelijk', 'noordelijke', 'noordelijker']"
1232,aandringen,insist,verb,3,10.95,A,everyday,"['aandringen', 'aangedrongen', 'dringt']"
1233,aardappel,potato,noun,3,10.95,A,everyday,"['aardappel', 'aardappelen', 'aardappels']"
1234,weren,weren t,verb,3,10.95,A,everyday,"['geweerd', 'weert', 'weren']"
1235,riet,reeds,noun,3,10.95,A,everyday,"['riet', 'rieten', 'rietjes']"
1236,film,film,noun,3,10.94,A,everyday,"['film', 'films']"
1237,niks,nothing,pronoun,3,10.94,A,everyday,"['niks', 'niksen']"
1238,hen,them,pronoun,3,10.92,A,everyday,"['hen', 'hens']"
1239,experimenteren,experiment,verb,3,10.92,A,everyday,"['experimenteerde', 'experimenteert', 'experimenteren']"
1240,omarmen,embrace,verb,3,10.92,A,everyday,"['omarmd', 'omarmen', 'omarmt']"
1241,opgaan,go,verb,3,10.92,A,everyday,"['opgaan', 'opgaande', 'opgegaan']"
1242,eigenlijk,actually,adjective,3,10.9,A,everyday,"['eigenlijk', 'eigenlijke']"
1243,pas,pass,adverb,3,10.9,A,everyday,"['pas', 'pasjes']"
1244,wijden,dedicate,noun,3,10.89,A,everyday,"['gewijd', 'wijdde', 'wijdt']"
1245,probleem,problem,noun,3,10.88,A,everyday,"['probleem', 'problemen']"
1246,video,video,noun,3,10.88,A,everyday,"['video', ""video's""]"
1247,soort,species,noun,3,10.86,A,everyday,"['soort', 'soorten']"
1248,verwerven,acquisition,verb,3,10.86,A,everyday,"['verwerven', 'verwierf', 'verworven']"
1249,explosief,explosive,noun,3,10.86,A,everyday,"['explosief', 'explosieve', 'explosieven']"
1250,rechtvaardig,fair,adjective,3,10.86,A,everyday,"['rechtvaardig', 'rechtvaardige', 'rechtvaardigen']"
1251,stunt,stunt,noun,3,10.86,A,everyday,"['stunt', 'stunten', 'stunts']"
1252,truc,trick,noun,3,10.86,A,everyday,"['truc', 'trucje', 'trucjes']"
1253,verdiepen,deepening,verb,3,10.86,A,everyday,"['verdiepen', 'verdiept', 'verdiepte']"
1254,sen,ed,noun,3,10.86,A,everyday,"['send', 'sens', 'ste']"
1255,gebied,area,noun,3,10.84,A,everyday,"['gebied', 'gebieden']"
1256,optrekken,pull,verb,3,10.83,A,everyday,"['opgetrokken', 'optrekken', 'optrekt']"
1257,ever,ever,adverb,3,10.83,A,everyday,"['ever', 'evere', 'evers']"
1258,lepel,spoon,noun,3,10.83,A,everyday,"['lepel', 'lepels', 'lepeltje']"
1259,screen,screen,noun,3,10.83,A,everyday,"['screen', 'screenen', 'screens']"
1260,knallen,pop,noun,3,10.83,A,everyday,"['geknald', 'knalde', 'knallende']"
1261,best,best,adjective,3,10.82,A,everyday,"['best', 'besten']"
1262,regio,region,noun,3,10.82,A,everyday,"['regio', ""regio's""]"
1263,niemand,no,pronoun,3,10.8,A,everyday,"['niemand', 'niemands']"
1264,rebel,rebel,adjective,3,10.8,A,everyday,"['rebel', 'rebellen', 'rebels']"
1265,betreffen,concerning,noun,3,10.77,A,everyday,"['betreffende', 'betreft', 'betrof']"
1266,gering,low,adjective,3,10.77,A,everyday,"['gering', 'geringe', 'geringste']"
1267,prikken,pricks,verb,3,10.77,A,everyday,"['prikken', 'prikt', 'prikte']"
1268,stagiair,trainee,adjective,3,10.77,A,everyday,"['stagiair', 'stagiaire', 'stagiairs']"
1269,uittrekken,take,verb,3,10.77,A,everyday,"['uitgetrokken', 'uittrekken', 'uittrekt']"
1270,meisje,girl,noun,3,10.74,A,everyday,"['meisje', 'meisjes']"
1271,muziek,music,noun,3,10.74,A,everyday,"['muziek', 'muziekje']"
1272,naast,next,preposition,3,10.74,A,everyday,"['naast', 'naaste']"
1273,afwijzen,reject,noun,3,10.74,A,everyday,"['afgewezen', 'afwees', 'afwijzend']"
1274,beveiligen,secure,verb,3,10.74,A,everyday,"['beveiligd', 'beveiligde', 'beveiligt']"
1275,bladzijde,page,noun,3,10.74,A,everyday,"['bladzijde', 'bladzijden', 'bladzijdes']"
1276,aanwijzen,designate,noun,3,10.71,A,everyday,"['aangewezen', 'aanwijst', 'aanwijzen']"
1277,adopteren,adopt,verb,3,10.71,A,everyday,"['adopteren', 'geadopteerd', 'geadopteerde']"
1278,processor,processor,noun,3,10.71,A,everyday,"['processor', 'processoren', 'processors']"
1279,dank,thank,noun,3,10.7,A,everyday,"['dank', 'dankje']"
1280,team,team,noun,3,10.7,A,everyday,"['team', 'teams']"
1281,blij,happy,adjective,3,10.68,A,everyday,"['blij', 'blije']"
1282,gelijk,equal,adjective,3,10.68,A,everyday,"['gelijk', 'gelijke']"
1283,precies,exactly,adjective,3,10.68,A,everyday,"['precies', 'precieze']"
1284,overdragen,transfer,verb,3,10.68,A,everyday,"['overdraagt', 'overdragen', 'overgedragen']"
1285,annuleren,cancel,verb,3,10.68,A,everyday,"['annuleert', 'annuleren', 'geannuleerd']"
1286,afstuderen,graduation,verb,3,10.68,A,everyday,"['afgestudeerden', 'afstudeerde', 'afstuderen']"
1287,gebak,pasta,noun,3,10.68,A,everyday,"['gebak', 'gebakje', 'gebakjes']"
1288,geval,case,noun,3,10.66,A,everyday,"['geval', 'gevallen']"
1289,toekennen,award,verb,3,10.62,A,everyday,"['toegekend', 'toekennen', 'toekent']"
1290,verwarren,confusion,verb,3,10.62,A,everyday,"['verwarren', 'verwarrend', 'verwarrende']"
1291,mie,mie,noun,3,10.62,A,everyday,"['mie', 'mies', 'mietje']"
1292,opbrengen,i don,verb,3,10.62,A,everyday,"['opbrengen', 'opbrengt', 'opgebracht']"
1293,rouwen,grieving,verb,3,10.62,A,everyday,"['rouwen', 'rouwende', 'rouwt']"
1294,splitsen,split,verb,3,10.62,A,everyday,"['gesplitst', 'splitsen', 'splitst']"
1295,bezig,busy,adjective,3,10.62,A,everyday,"['bezig', 'bezige']"
1296,morgen,tomorrow,adverb,3,10.62,A,everyday,"['morgen', 'morgens']"
1297,alarmeren,alarm,verb,3,10.6,A,everyday,"['alarmeren', 'alarmerend', 'alarmerende', 'gealarmeerd']"
1298,vernielen,destroy,verb,3,10.59,A,everyday,"['vernield', 'vernielde', 'vernielt']"
1299,bult,bump,noun,3,10.59,A,everyday,"['bult', 'bulten', 'bultjes']"
1300,observeren,observe,verb,3,10.59,A,everyday,"['geobserveerd', 'observeert', 'observeren']"
1301,plagen,teasing,verb,3,10.59,A,everyday,"['geplaagd', 'plaagt', 'plagen']"
1302,vergaderen,meetings,verb,3,10.59,A,everyday,"['vergaderd', 'vergaderen', 'vergadert']"
1303,reguleren,regulate,noun,3,10.59,A,everyday,"['gereguleerd', 'gereguleerde', 'reguleert']"
1304,maand,month,noun,3,10.58,A,everyday,"['maand', 'maanden']"
1305,oorlog,war,noun,3,10.58,A,everyday,"['oorlog', 'oorlogen']"
1306,zet,move,verb,3,10.58,A,everyday,"['zet', 'zetje']"
1307,programma,program,noun,3,10.56,A,everyday,"['programma', ""programma's""]"
1308,twitter,twitter,noun,3,10.56,A,everyday,"['twitter', 'twitters']"
1309,bekleden,decorating,verb,3,10.56,A,everyday,"['bekleden', 'bekleedde', 'bekleedt']"
1310,bloeden,bleeding,verb,3,10.56,A,everyday,"['bloeden', 'bloedend', 'bloedt']"
1311,vink,check,noun,3,10.56,A,everyday,"['vink', 'vinken', 'vinkje']"
1312,verwant,related,adjective,3,10.53,A,everyday,"['verwant', 'verwante', 'verwanten']"
1313,juist,right,adjective,3,10.52,A,everyday,"['juist', 'juiste']"
1314,elk,any,pronoun,3,10.5,A,everyday,"['elk', 'elke']"
1315,euro,euro,noun,3,10.5,A,everyday,"['euro', ""euro's""]"
1316,buur,neighbor,noun,3,10.5,A,everyday,"['buren', 'buur', 'buurtje']"
1317,noteren,notify,verb,3,10.5,A,everyday,"['genoteerd', 'noteerde', 'noteren']"
1318,uitdagen,challenge,noun,3,10.5,A,everyday,"['uitdaagt', 'uitdagend', 'uitdagende']"
1319,concluderen,conclusion,noun,3,10.5,A,everyday,"['concludeerde', 'concludeert', 'geconcludeerd']"
1320,misleiden,deception,verb,3,10.5,A,everyday,"['misleidend', 'misleidende', 'misleidt']"
1321,beide,both,pronoun,3,10.48,A,everyday,"['beide', 'beiden']"
1322,new,new,noun,3,10.48,A,everyday,"['new', 'news']"
1323,ogen,eyes,noun,3,10.48,A,everyday,"['ogende', 'oogt']"
1324,deskundig,expert,adjective,3,10.47,A,everyday,"['deskundig', 'deskundige', 'deskundigen']"
1325,schenden,infringe,verb,3,10.47,A,everyday,"['geschonden', 'schenden', 'schendt']"
1326,overschrijden,exceed,verb,3,10.47,A,everyday,"['overschreden', 'overschrijden', 'overschrijdt']"
1327,intimideren,intimidate,verb,3,10.47,A,everyday,"['intimideren', 'intimiderend', 'intimiderende']"
1328,transformeren,transform,verb,3,10.47,A,everyday,"['getransformeerd', 'transformeert', 'transformeren']"
